"","Timestamp","Temperature.SoilTemp_15cm@WW_pit5","Temperature.SoilTemp_30cm@WW_pit5","Temperature.SoilTemp_45cm@WW_pit5","Temperature.SoilTemp_60cm@WW_pit5"
"307",2021-10-07 10:00:00,11.6,0,11.9,11.5
"308",2021-10-07 10:30:00,11.6,0,11.9,11.5
"309",2021-10-07 11:00:00,11.6,0,11.9,11.5
"310",2021-10-07 11:30:00,11.6,0,11.9,11.5
"311",2021-10-07 12:00:00,11.6,0,11.9,11.5
"312",2021-10-07 12:30:00,11.6,0,11.9,11.5
"313",2021-10-07 13:00:00,11.6,0,11.9,11.5
"314",2021-10-07 13:30:00,11.7,0,11.9,11.5
"315",2021-10-07 14:00:00,11.7,0,11.9,11.5
"316",2021-10-07 14:30:00,11.8,0,11.8,11.5
"317",2021-10-07 15:00:00,11.8,0,11.9,11.5
"318",2021-10-07 15:30:00,11.9,0,11.8,11.5
"319",2021-10-07 16:00:00,12,0,11.8,11.5
"320",2021-10-07 16:30:00,12.1,0,11.8,11.5
"321",2021-10-07 17:00:00,12.2,0,11.8,11.5
"322",2021-10-07 17:30:00,12.2,0,11.8,11.5
"323",2021-10-07 18:00:00,12.3,0,11.8,11.5
"324",2021-10-07 18:30:00,12.3,0,11.8,11.5
"325",2021-10-07 19:00:00,12.4,0,11.8,11.5
"326",2021-10-07 19:30:00,12.4,0,11.8,11.5
"327",2021-10-07 20:00:00,12.4,0,11.8,11.5
"328",2021-10-07 20:30:00,12.5,0,11.8,11.5
"329",2021-10-07 21:00:00,12.4,0,11.8,11.5
"330",2021-10-07 21:30:00,12.5,0,11.8,11.5
"331",2021-10-07 22:00:00,12.5,0,11.8,11.5
"332",2021-10-07 22:30:00,12.4,0,11.8,11.5
"333",2021-10-07 23:00:00,12.4,0,11.8,11.5
"334",2021-10-07 23:30:00,12.4,0,11.8,11.5
"335",2021-10-08 00:00:00,12.3,0,11.8,11.5
"336",2021-10-08 00:30:00,12.3,0,11.8,11.5
"337",2021-10-08 01:00:00,12.3,0,11.8,11.5
"338",2021-10-08 01:30:00,12.3,0,11.8,11.5
"339",2021-10-08 02:00:00,12.2,0,11.8,11.5
"340",2021-10-08 02:30:00,12.2,0,11.8,11.5
"341",2021-10-08 03:00:00,12.2,0,11.8,11.5
"342",2021-10-08 03:30:00,12.1,0,11.8,11.5
"343",2021-10-08 04:00:00,12.1,0,11.9,11.4
"344",2021-10-08 04:30:00,12,0,11.9,11.4
"345",2021-10-08 05:00:00,12,0,11.8,11.4
"346",2021-10-08 05:30:00,11.9,0,11.8,11.5
"347",2021-10-08 06:00:00,11.9,0,11.8,11.5
"348",2021-10-08 06:30:00,11.9,0,11.9,11.5
"349",2021-10-08 07:00:00,11.8,0,11.8,11.5
"350",2021-10-08 07:30:00,11.8,0,11.8,11.5
"351",2021-10-08 08:00:00,11.7,0,11.8,11.4
"352",2021-10-08 08:30:00,11.7,0,11.8,11.5
"353",2021-10-08 09:00:00,11.7,0,11.8,11.4
"354",2021-10-08 09:30:00,11.6,0,11.8,11.5
"355",2021-10-08 10:00:00,11.6,0,11.9,11.5
"356",2021-10-08 10:30:00,11.6,0,11.8,11.5
"357",2021-10-08 11:00:00,11.6,0,11.9,11.5
"358",2021-10-08 11:30:00,11.5,0,11.8,11.5
"359",2021-10-08 12:00:00,11.5,0,11.8,11.5
"360",2021-10-08 12:30:00,11.6,0,11.8,11.4
"361",2021-10-08 13:00:00,11.6,0,11.8,11.4
"362",2021-10-08 13:30:00,11.6,0,11.8,11.5
"363",2021-10-08 14:00:00,11.7,0,11.8,11.5
"364",2021-10-08 14:30:00,11.8,0,11.8,11.5
"365",2021-10-08 15:00:00,11.8,0,11.8,11.5
"366",2021-10-08 15:30:00,11.9,0,11.8,11.5
"367",2021-10-08 16:00:00,12,0,11.8,11.5
"368",2021-10-08 16:30:00,12.1,0,11.8,11.4
"369",2021-10-08 17:00:00,12.2,0,11.8,11.4
"370",2021-10-08 17:30:00,12.3,0,11.8,11.5
"371",2021-10-08 18:00:00,12.3,0,11.8,11.5
"372",2021-10-08 18:30:00,12.4,0,11.8,11.5
"373",2021-10-08 19:00:00,12.4,0,11.8,11.5
"374",2021-10-08 19:30:00,12.5,0,11.8,11.5
"375",2021-10-08 20:00:00,12.5,0,11.8,11.5
"376",2021-10-08 20:30:00,12.5,0,11.8,11.4
"377",2021-10-08 21:00:00,12.5,0,11.8,11.4
"378",2021-10-08 21:30:00,12.6,0,11.8,11.5
"379",2021-10-08 22:00:00,12.6,0,11.8,11.5
"380",2021-10-08 22:30:00,12.6,0,11.8,11.5
"381",2021-10-08 23:00:00,12.5,0,11.8,11.5
"382",2021-10-08 23:30:00,12.5,0,11.8,11.5
"383",2021-10-09 00:00:00,12.5,0,11.9,11.4
"384",2021-10-09 00:30:00,12.5,0,11.8,11.4
"385",2021-10-09 01:00:00,12.5,0,11.8,11.4
"386",2021-10-09 01:30:00,12.5,0,11.8,11.4
"387",2021-10-09 02:00:00,12.5,0,11.8,11.5
"388",2021-10-09 02:30:00,12.5,0,11.8,11.5
"389",2021-10-09 03:00:00,12.5,0,11.8,11.5
"390",2021-10-09 03:30:00,12.5,0,11.8,11.4
"391",2021-10-09 04:00:00,12.4,0,11.8,11.4
"392",2021-10-09 04:30:00,12.4,0,11.8,11.4
"393",2021-10-09 05:00:00,12.4,0,11.8,11.4
"394",2021-10-09 05:30:00,12.4,0,11.8,11.4
"395",2021-10-09 06:00:00,12.4,0,11.8,11.5
"396",2021-10-09 06:30:00,12.4,0,11.9,11.5
"397",2021-10-09 07:00:00,12.4,0,11.8,11.4
"398",2021-10-09 07:30:00,12.4,0,11.9,11.4
"399",2021-10-09 08:00:00,12.3,0,11.8,11.4
"400",2021-10-09 08:30:00,12.3,0,11.9,11.4
"401",2021-10-09 09:00:00,12.3,0,11.8,11.4
"402",2021-10-09 09:30:00,12.3,0,11.9,11.5
"403",2021-10-09 10:00:00,12.3,0,11.9,11.5
"404",2021-10-09 10:30:00,12.3,0,11.9,11.5
"405",2021-10-09 11:00:00,12.2,0,11.9,11.5
"406",2021-10-09 11:30:00,12.2,0,11.9,11.4
"407",2021-10-09 12:00:00,12.2,0,11.9,11.4
"408",2021-10-09 12:30:00,12.2,0,11.9,11.4
"409",2021-10-09 13:00:00,12.2,0,11.9,11.4
"410",2021-10-09 13:30:00,12.2,0,11.9,11.4
"411",2021-10-09 14:00:00,12.3,0,11.9,11.5
"412",2021-10-09 14:30:00,12.3,0,11.9,11.5
"413",2021-10-09 15:00:00,12.3,0,11.9,11.4
"414",2021-10-09 15:30:00,12.4,0,11.9,11.4
"415",2021-10-09 16:00:00,12.4,0,11.9,11.4
"416",2021-10-09 16:30:00,12.5,0,11.9,11.4
"417",2021-10-09 17:00:00,12.5,0,11.9,11.4
"418",2021-10-09 17:30:00,12.5,0,11.9,11.4
"419",2021-10-09 18:00:00,12.6,0,11.9,11.5
"420",2021-10-09 18:30:00,12.6,0,11.9,11.5
"421",2021-10-09 19:00:00,12.6,0,11.9,11.5
"422",2021-10-09 19:30:00,12.6,0,11.9,11.5
"423",2021-10-09 20:00:00,12.6,0,11.9,11.4
"424",2021-10-09 20:30:00,12.6,0,11.9,11.4
"425",2021-10-09 21:00:00,12.6,0,11.9,11.4
"426",2021-10-09 21:30:00,12.6,0,11.9,11.5
"427",2021-10-09 22:00:00,12.6,0,11.9,11.5
"428",2021-10-09 22:30:00,12.6,0,12,11.5
"429",2021-10-09 23:00:00,12.6,0,11.9,11.5
"430",2021-10-09 23:30:00,12.6,0,11.9,11.5
"431",2021-10-10 00:00:00,12.6,0,11.9,11.4
"432",2021-10-10 00:30:00,12.5,0,11.9,11.5
"433",2021-10-10 01:00:00,12.5,0,12,11.4
"434",2021-10-10 01:30:00,12.5,0,11.9,11.5
"435",2021-10-10 02:00:00,12.5,0,11.9,11.5
"436",2021-10-10 02:30:00,12.5,0,11.9,11.5
"437",2021-10-10 03:00:00,12.4,0,12,11.5
"438",2021-10-10 03:30:00,12.4,0,12,11.5
"439",2021-10-10 04:00:00,12.4,0,12,11.5
"440",2021-10-10 04:30:00,12.4,0,12,11.5
"441",2021-10-10 05:00:00,12.3,0,12,11.4
"442",2021-10-10 05:30:00,12.3,0,12,11.5
"443",2021-10-10 06:00:00,12.3,0,11.9,11.5
"444",2021-10-10 06:30:00,12.3,0,12,11.5
"445",2021-10-10 07:00:00,12.2,0,12,11.5
"446",2021-10-10 07:30:00,12.2,0,11.9,11.5
"447",2021-10-10 08:00:00,12.2,0,11.9,11.5
"448",2021-10-10 08:30:00,12.2,0,11.9,11.5
"449",2021-10-10 09:00:00,12.1,0,11.9,11.4
